rating,text
5,"We always stay here when in Valdez for silver salmon fishing. The elderly couple that run it are amazing to talk to, extremely helpful. The campsites are very well maintained."
5,This was an amazing RV camping experience with good electric water - the owner even pumped our septic. They have a great little store with groceries and souvenirs - we got to know some of the other campers and every where we went they were very happy with the site. We used laundry and shower area and everything was very clean. Enjoy!
5,Spent the summer of 2011. Had a wonderful time.\n2014 Just spent a 2nd Wonderful summer at this park. Very nice quiet park surrounded with trees. Very clean restrooms and the park was kept clean. The staff were very friendly and helpful.
5,"My Wife and I have stayed at Bear Creek several times over the past 5 years, and it continues to be the only place that we'll stay near Valdez.  Tim and LaVerne are wonderful hosts, and run a great campground.  Best thing is, its a few miles out of the \""hustle and bustle\"" of busy Valdez... nice place guys!  :)"
5,"Great campground for the price. Nice hot unlimited showers, laundy, and  spacious wooded lots. Full hook ups. Late check in available."
4,"We tent camped here for 2 nights while exploring Valdez. The center of the campground was in the open and there are treed sites around the edges. Don't expect lower foliage separating the sites. Still this is much nicer than the other RV parking lots in town which seemed wide open.\n\nThere is a bath house with 1 set of coin operated washer/dryer, 2 restrooms (sink toilet) and 2 shower rooms (sink, toilet, shower). The hot water will run out after a few showers. They provide floor mats towels for you to use which is nice, but they lack vent fans to remove moisture so it is prone to mold.\n\nWi-Fi didn't reach our site on the back edge of the campground. Overall we were happy with our stay at this campground and would stay there again."
5,"I like the park, it's new still making improvements, I am Glad that I was able to get in with out a reservation, the staff is very good, cable TV needs work got one channel with antenna, no sewer at site but they do have a dump site."
4,"This place is just a few miles outside Valdez, which I thought was a bonus.  It was surrounded by woods and had some trees throughout the park for shade.  The bathrooms were clean and the showers were nice.  The dump station was a little underwhelming.  Overall, I'm really glad I stayed here and not one of the gravel lots in valdez."
5,Probably the nicest and cleanest campground we've been to in Alaska.
1,Treated terribly by owner absolutely outrageous pricing wouldn't even allow me to shower after paying almost 40.00 for just parking in a lot for 5 hours
5,Stayed there all summer in 2014 and gonna stay there this year. Great place nice people
5,"Nice people, clean bathrooms with cloth bath mats too!"
3,Noisy in the morning(RV's leaving). A little cramped. Other than that a nice place to stay.
3,"Beautful setting plenty of room for a big rig, but no sanation at the site. Strong Wi-Fi with very good cable tv. THIS IS NOW VALDEZ KOA"
5,"Great, slept like a bear. Clean, convenient, cute, the owners are a hoot."
